Unnamed: 0,number,driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,driver_name,pit_time,class,group,team,manufacturer,season,circuit,round,vehicle,flag_at_fl,team_no,lap_time_ms,lap_time_s,engine,driver_stint_no,driver_stint,team_stint_no,team_stint,elapsed_ms,position,class_position,interval_ms,interval,gap,class_interval,class_gap,elapsed_s
423729,21,2,13,0 days 00:02:08.049000,0,,35.984,0,59.29,0,32.775,0,196.9,0 days 00:27:52.350000,13:57:53.918,0 days 00:00:35.984000,0 days 00:00:59.290000,0 days 00:00:32.775000,300.2,Juan Pablo MONTOYA,,LMP2,P/A,DragonSpeed USA,Oreca,2021,SPA FRANCORCHAMPS,1,Oreca 07,,DragonSpeed USA #21,128049.0,128.049,Gibson,1,Juan Pablo MONTOYA Stint #1,1,DragonSpeed USA #21 Stint #1,1672350,8.0,5.0,516.0,0.516,29.545,0.516,15.441,1672.35
46505,77,0,93,0 days 00:01:41.852000,0,,22.302,0,31.486,0,48.064,0,161.3,0 days 02:42:17.244000,13:42,0 days 00:00:22.302000,0 days 00:00:31.486000,0 days 00:00:48.064000,259.0,Marc Lieb,,LMGTE Pro,,Team Felbermayr-Proton,Porsche,2012,FUJI SPEEDWAY,7,Porsche 997 GT3-RSR,,Team Felbermayr-Proton #77,101852.0,101.852,Porsche,2,Marc Lieb Stint #2,3,Team Felbermayr-Proton #77 Stint #3,9737244,19.0,1.0,25116.0,25.116,1197.843,0.0,0.0,9737.244
156624,7,0,308,0 days 00:03:21.763000,0,,31.552,0,77.237,0,92.974,0,243.2,0 days 19:05:32.191000,10:05,0 days 00:00:31.552000,0 days 00:01:17.237000,0 days 00:01:32.974000,321.0,Marcel FÄSSLER,,LMP1,H,Audi Sport Team Joest,Audi,2015,LE MANS,3,Audi R18 e-tron quattro,,Audi Sport Team Joest #7,201763.0,201.763,Audi,9,Marcel FÄSSLER Stint #9,25,Audi Sport Team Joest #7 Stint #25,68732191,4.0,4.0,167325.0,167.325,410.784,167.325,410.784,68732.191
357986,71,2,107,0 days 00:04:56.540000,0,,99.71,0,90.053,0,106.777,0,165.4,0 days 07:34:38.158000,22:34:57.188,0 days 00:01:39.710000,0 days 00:01:30.053000,0 days 00:01:46.777000,294.8,Sam BIRD,0:01:13.637,LMGTE Pro,,AF Corse,Ferrari,2018-2019,LE MANS 2019,8,Ferrari 488 GTE Evo,,AF Corse #71,296540.0,296.54,Ferrari,3,Sam BIRD Stint #3,9,AF Corse #71 Stint #9,27278158,35.0,9.0,62603.0,62.603,3064.839,62.603,95.168,27278.158
196894,95,0,36,0 days 00:03:55.946000,0,,37.306,0,89.913,0,108.727,0,207.9,0 days 02:51:36.903000,17:51:36.903,0 days 00:00:37.306000,0 days 00:01:29.913000,0 days 00:01:48.727000,302.2,Nicki THIIM,,LMGTE Pro,,Aston Martin Racing,Aston Martin,2016,LE MANS,3,Aston Martin Vantage GT2,,Aston Martin Racing #95,235946.0,235.946,Aston Martin,1,Nicki THIIM Stint #1,3,Aston Martin Racing #95 Stint #3,10296903,33.0,9.0,9237.0,9.237,916.561,9.237,54.909,10296.903
257315,47,2,19,0 days 00:03:46.958000,0,B,35.193,0,83.083,0,108.682,0,216.2,0 days 01:10:49.303000,16:11:10.264,0 days 00:00:35.193000,0 days 00:01:23.083000,0 days 00:01:48.682000,321.0,Andrea BELICCHI,,LMP2,,Cetilar Villorba Corse,Dallara,2017,LE MANS,3,Dallara P217,,Cetilar Villorba Corse #47,226958.0,226.958,Gibson,2,Andrea BELICCHI Stint #2,2,Cetilar Villorba Corse #47 Stint #2,4249303,15.0,10.0,5117.0,5.117,293.488,5.117,80.979,4249.303
331641,37,2,54,0 days 00:01:32.234000,0,,20.219,0,27.763,0,44.252,0,178.1,0 days 01:40:22.297000,12:38:45.501,0 days 00:00:20.219000,0 days 00:00:27.763000,0 days 00:00:44.252000,297.5,Weiron TAN,,LMP2,,Jackie Chan DC Racing,Oreca,2018-2019,FUJI SPEEDWAY,4,Oreca 07,,Jackie Chan DC Racing #37,92234.0,92.234,Gibson,1,Weiron TAN Stint #1,4,Jackie Chan DC Racing #37 Stint #4,6022297,7.0,1.0,49988.0,49.988,227.501,0.0,0.0,6022.297
147284,36,2,100,0 days 00:03:44.670000,0,,35.014,0,86.477,0,103.179,0,218.4,0 days 06:58:28.351000,21:58,0 days 00:00:35.014000,0 days 00:01:26.477000,0 days 00:01:43.179000,303.0,Vincent CAPILLAIRE,,LMP2,,Signatech Alpine,Alpine,2015,LE MANS,3,Alpine A450b,,Signatech Alpine #36,224670.0,224.67,Nissan,2,Vincent CAPILLAIRE Stint #2,8,Signatech Alpine #36 Stint #8,25108351,13.0,3.0,125412.0,125.412,2138.372,125.412,236.872,25108.351
272701,1,2,305,0 days 00:03:25.962000,0,,32.593,0,79.288,0,94.081,0,238.2,0 days 19:22:20.469000,10:22:41.430,0 days 00:00:32.593000,0 days 00:01:19.288000,0 days 00:01:34.081000,292.4,Nick TANDY,,LMP1,H,Porsche LMP Team,Porsche,2017,LE MANS,3,Porsche 919 Hybrid,,Porsche LMP Team #1,205962.0,205.962,Porsche,9,Nick TANDY Stint #9,24,Porsche LMP Team #1 Stint #24,69740469,1.0,1.0,0.0,0.0,0.0,0.0,0.0,69740.469
318216,8,2,217,0 days 00:03:22.555000,0,,32.559,0,78.007,0,91.989,0,242.2,0 days 13:17:15.251000,04:17:33.017,0 days 00:00:32.559000,0 days 00:01:18.007000,0 days 00:01:31.989000,316.3,Kazuki NAKAJIMA,,LMP1,H,Toyota Gazoo Racing,Toyota,2018-2019,LE MANS 2018,2,Toyota TS050 Hybrid,,Toyota Gazoo Racing #8,202555.0,202.555,Toyota,5,Kazuki NAKAJIMA Stint #5,22,Toyota Gazoo Racing #8 Stint #22,47835251,2.0,2.0,34389.0,34.389,34.389,34.389,34.389,47835.251
